	CLDN18	ImmuneProxy
TCGA-BR-8295-01	2.7761434178277944	-0.5974612178515522
TCGA-BR-8296-01	2.8868294013438054	0.32880779133166466
TCGA-BR-8297-01	2.8181964042521814	0.18335365982675322
TCGA-BR-8361-01	2.645789799770902	1.0681909659516047
TCGA-BR-8362-01	2.489164981951111	0.8999170789675615
TCGA-BR-8363-01	2.657800739222397	1.4616952328999144
TCGA-BR-8364-01	2.8862958199311297	0.5223086306378826
TCGA-BR-8365-01	2.728643560521383	0.24221689366299357
TCGA-BR-8366-01	2.8563375159858406	1.04349227443958
TCGA-BR-8367-01	2.7850998041374755	-0.11566471625595548
TCGA-BR-8368-01	2.520023082664065	0.6420949830785145
TCGA-BR-8369-01	2.8113474093597333	-0.4288840761855796
TCGA-BR-8371-01	2.65508966875539	-0.6433165429024015
TCGA-BR-8372-01	2.3089045909664114	1.1132028211725395
